Company index,Quoted,Country ISO code,NACE2,Operating revenue EU (Turnover LAY),Number of employees (LAY),Size classification,DPO,Purpose,Acquired data,Data sharing,Rights
0,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,121062255.27,515.0,Large or Very large company,1,1,0,0,1
1,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,2425755806.0,,Large or Very large company,1,1,0,0,1
2,No,NL,INFORMATION AND COMMUNICATION,,54.0,Large or Very large company,0,1,0,1,0
3,No,NL,MANUFACTURING,,2.0,Large or Very large company,1,1,1,1,1
4,No,NL,MANUFACTURING,18991431.0,48.0,Large or Very large company,1,0,0,1,1
5,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
6,No,FR,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",20259510.0,,Large or Very large company,1,0,1,1,0
7,No,SE,FINANCIAL AND INSURANCE ACTIVITIES,32980427.7924439,82.0,Large or Very large company,0,1,1,0,0
8,No,IT,MANUFACTURING,30640787.0,165.0,Large or Very large company,0,1,0,1,0
9,No,DE,MANUFACTURING,115059330.02,116.0,Large or Very large company,1,0,0,0,1
10,No,DE,MANUFACTURING,,54.0,Large or Very large company,1,1,1,0,1
11,No,IT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",68714832.0,295.0,Large or Very large company,1,1,1,1,0
12,No,BE,MANUFACTURING,36335606.0,33.0,Large or Very large company,0,1,1,0,0
14,No,MT,FINANCIAL AND INSURANCE ACTIVITIES,11110560.0,,Large or Very large company,1,1,1,1,1
15,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,49757350.0,63.0,Large or Very large company,1,1,1,1,1
16,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
17,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,307.53,,Large or Very large company,1,1,0,0,1
18,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,20.0,Large or Very large company,1,1,1,1,1
19,No,DE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,23071768.12,43.0,Large or Very large company,1,0,0,0,1
20,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,1028.48,,Large or Very large company,1,1,0,0,1
21,No,DE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,241989376.68,413.0,Large or Very large company,1,1,0,1,0
22,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,17271851.0,6.0,Large or Very large company,1,1,1,1,1
23,No,DE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,378043000.0,5098.0,Large or Very large company,0,1,1,1,0
25,No,DK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",82389772.9485735,481.0,Large or Very large company,1,1,1,1,1
26,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
27,No,FI,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,31177132.0,189.0,Large or Very large company,1,1,1,1,1
28,No,DE,MANUFACTURING,,,Large or Very large company,0,1,0,0,0
29,No,RO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",15911207.2280444,35.0,Large or Very large company,0,1,1,1,0
30,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,233.0,Large or Very large company,1,1,1,1,1
31,No,BE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",4193671000.0,1013.0,Large or Very large company,0,0,1,1,0
33,No,DE,MANUFACTURING,59698374.62,349.0,Large or Very large company,1,1,1,1,0
34,No,IE,CONSTRUCTION,12721807.0,16.0,Large or Very large company,1,1,1,1,1
35,No,DE,MANUFACTURING,377680040.0,602.0,Large or Very large company,0,1,1,1,0
36,No,FI,FINANCIAL AND INSURANCE ACTIVITIES,20000000.0,7.0,Large or Very large company,0,1,0,0,0
37,No,DE,MANUFACTURING,63362890.18,306.0,Large or Very large company,1,0,1,0,0
38,No,DE,CONSTRUCTION,22962250.0,17.0,Large or Very large company,1,1,0,1,1
39,No,BE,TRANSPORTATION AND STORAGE,25836396.0,15.0,Large or Very large company,0,1,1,1,0
40,No,FI,MANUFACTURING,78252834.0,596.0,Large or Very large company,0,1,0,0,0
43,No,IT,MANUFACTURING,37737406.0,159.0,Large or Very large company,1,1,1,1,1
44,No,PT,MANUFACTURING,16025173.1,42.0,Large or Very large company,0,1,1,1,1
46,No,IT,INFORMATION AND COMMUNICATION,28541483.0,113.0,Large or Very large company,1,1,0,1,0
47,No,IE,MANUFACTURING,132773.0,37.0,Large or Very large company,1,1,1,1,1
48,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",62412345.31,417.0,Large or Very large company,1,0,1,0,0
49,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,20624516.0,39.0,Large or Very large company,1,0,0,0,1
51,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,80698749.14,79.0,Large or Very large company,1,1,1,1,0
53,No,ES,MANUFACTURING,311817337.0,914.0,Large or Very large company,1,1,1,1,1
54,No,GR,INFORMATION AND COMMUNICATION,16626804.0,330.0,Large or Very large company,1,1,1,0,1
55,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,12682430.0,36.0,Large or Very large company,1,1,1,1,1
56,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,21414638.26,38.0,Large or Very large company,1,0,0,0,1
57,No,FR,MANUFACTURING,151305614.0,331.0,Large or Very large company,1,1,1,1,0
58,No,IT,MANUFACTURING,35544125.0,86.0,Large or Very large company,1,1,1,1,1
59,No,BG,REAL ESTATE ACTIVITIES,11326084.8869151,27.0,Large or Very large company,1,0,0,1,1
60,No,DE,MANUFACTURING,11113610.0,70.0,Large or Very large company,1,0,0,0,1
61,No,IT,MANUFACTURING,30726552.0,104.0,Large or Very large company,1,1,1,1,0
62,No,BE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,12726870.0,208.0,Large or Very large company,1,1,1,1,1
64,No,DK,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,66.0,Large or Very large company,1,1,1,1,1
65,No,DE,INFORMATION AND COMMUNICATION,,115.0,Large or Very large company,0,0,1,1,1
66,No,ES,MANUFACTURING,25585283.0,248.0,Large or Very large company,0,0,0,0,1
67,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,89671381.0,157.0,Large or Very large company,1,1,1,1,1
68,No,DE,MANUFACTURING,,171.0,Large or Very large company,1,1,1,1,0
69,No,CZ,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,20010052.5253929,,Large or Very large company,1,1,1,1,1
70,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,90.08,,Large or Very large company,1,1,0,0,1
71,No,DE,MANUFACTURING,87104801.01,433.0,Large or Very large company,1,0,1,0,1
72,No,AT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",158302171.33,,Large or Very large company,1,1,0,0,0
73,No,DK,FINANCIAL AND INSURANCE ACTIVITIES,2792109787.42987,19052.0,Large or Very large company,1,1,1,1,1
74,No,DE,CONSTRUCTION,19357268.85,55.0,Large or Very large company,1,1,1,0,1
75,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",162269916.0,1222.0,Large or Very large company,1,0,0,0,1
76,No,MT,No Information,1538190.0,,Large or Very large company,1,1,1,1,0
77,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
79,No,IT,MANUFACTURING,42532515.0,119.0,Large or Very large company,0,0,0,0,0
